leiden,Fibroblast,Endothelial cell,B/Plasma cell,T/NK cell,Macro/Mono/DC
0,0.0,0.0,0.6618705035971223,0.9928057553956835,0.08633093525179857
1,0.020202020202020204,0.010101010101010102,0.48484848484848486,1.0,0.010101010101010102
2,0.0,0.05434782608695652,0.75,1.0,0.08695652173913043
3,0.011904761904761904,0.047619047619047616,0.9523809523809523,0.9880952380952381,0.0
4,0.024096385542168676,0.012048192771084338,0.8554216867469879,0.9879518072289156,0.18072289156626506
5,0.0,0.058823529411764705,0.7058823529411765,1.0,0.10294117647058823
6,0.0,0.0,0.6507936507936508,1.0,0.0
7,0.03333333333333333,0.0,0.35,0.8333333333333334,0.06666666666666667
8,0.0,0.0,0.8333333333333334,0.9629629629629629,0.0
9,0.0,0.05660377358490566,0.8490566037735849,1.0,0.03773584905660377
10,0.0,0.0,0.2857142857142857,1.0,0.0
