,title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,taxid_ch1,characteristics_ch1,molecule_ch1,extract_protocol_ch1,description,data_processing,platform_id,contact_name,contact_email,contact_phone,contact_department,contact_institute,contact_address,contact_city,contact_state,contact_zip/postal_code,contact_country,instrument_model,library_selection,library_source,library_strategy,relation,supplementary_file_1,series_id,data_row_count,Assay Type,BioProject,BioSample,Center Name,Consent,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,Sample Name,source_name,SRA Study,who_classification,library,read_length,read_length_description,tumor_abbreviation,tumor_name,source,tumor_subtype,pooled_or_single,PDX_sourced_patient_id,tumor_site,leiden,Melanocyte,Hepatocyte,Epithelial cell,Fibroblast,Endothelial cell,B/Plasma cell,T/NK cell,Macro/Mono/DC,Oligodendrocyte,Neuron,Astrocyte,HSC,cell_type,confidence,donor,cell_label
SRR13092477,ETP-12_SingleCell_A10_S361,GSM4921905,Public on Jan 01 2021,Nov 20 2020,Jan 03 2021,SRA,1,NSG spleen,Homo sapiens,9606,who classification: ETP-ALL__tissue (isolated from): NSG spleen,total RNA,"PBMCs were isolated using Ficoll-Paque, stained with anti-CD45 FITC. Live single cells were sorted into 96 well plates containing TCL buffer.__Full-length single cell RNA-seq libraries were prepared using the SMART-seq2 protocol. cDNA was fragmented using Nextera XT (Illumina) and amplified with indexed Nextera PCR primers.",ETP-12_ETP-ALL-PDX_001,Adapter trimming was performed using trimmomatic version 0.36__Sequence quality was assessed using fastqc version 0.11.5__Alignment agains human genome was performed using START version 2.5.2b using following parameters -  --twopassMode Basic          --alignIntronMax 100000 --alignMatesGapMax 100000   --alignSJDBoverhangMin 10   --alignSJstitchMismatchNmax 5   -1   5   5 --outSAMstrandField intronMotif --outSAMattributes NH HI NM MD AS XS__Raw counts were obtained from aligned bam files using htseq version 0.9.1__Genome_build: hg19__Supplementary_files_format_and_content: htseq count file with raw counts for all the human genes for individual cells,GPL18573,"Jens,,Lohr","jensg_lohr@dfci.harvard.edu, Birgit_Knoechel@dfci.harvard.edu",617-632-4201,pediatric oncology,Dana Farber Cancer Institute,450 Brookline Ave,Boston,MA,02215,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16855452__SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9538074,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4921nnn/GSM4921905/suppl/GSM4921905_ETP-12_SingleCell_A10_S361_rep1_NA.htseq-count.txt.gz,GSE161896__GSE161901,0,RNA-Seq,PRJNA679819,SAMN16855452,GEO,public,SRX9538074,GSM4921905,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,GSM4921905,NSG spleen,SRP293518,ETP-ALL,paired-end,78,2 x 39 bp,ALL,Acute lymphoblastic leukemia,PDX,ETP-ALL,Single-cell,ETP-12,NSG spleen,2,1,0,0,0,0,1,1,0,0,0,0,1,T/NK cell,Undecided,ETP-ALL,Malignant cell
SRR13092478,ETP-12_SingleCell_A11_S369,GSM4921906,Public on Jan 01 2021,Nov 20 2020,Jan 03 2021,SRA,1,NSG spleen,Homo sapiens,9606,who classification: ETP-ALL__tissue (isolated from): NSG spleen,total RNA,"PBMCs were isolated using Ficoll-Paque, stained with anti-CD45 FITC. Live single cells were sorted into 96 well plates containing TCL buffer.__Full-length single cell RNA-seq libraries were prepared using the SMART-seq2 protocol. cDNA was fragmented using Nextera XT (Illumina) and amplified with indexed Nextera PCR primers.",ETP-12_ETP-ALL-PDX_002,Adapter trimming was performed using trimmomatic version 0.36__Sequence quality was assessed using fastqc version 0.11.5__Alignment agains human genome was performed using START version 2.5.2b using following parameters -  --twopassMode Basic          --alignIntronMax 100000 --alignMatesGapMax 100000   --alignSJDBoverhangMin 10   --alignSJstitchMismatchNmax 5   -1   5   5 --outSAMstrandField intronMotif --outSAMattributes NH HI NM MD AS XS__Raw counts were obtained from aligned bam files using htseq version 0.9.1__Genome_build: hg19__Supplementary_files_format_and_content: htseq count file with raw counts for all the human genes for individual cells,GPL18573,"Jens,,Lohr","jensg_lohr@dfci.harvard.edu, Birgit_Knoechel@dfci.harvard.edu",617-632-4201,pediatric oncology,Dana Farber Cancer Institute,450 Brookline Ave,Boston,MA,02215,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16855451__SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9538075,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4921nnn/GSM4921906/suppl/GSM4921906_ETP-12_SingleCell_A11_S369_rep1_NA.htseq-count.txt.gz,GSE161896__GSE161901,0,RNA-Seq,PRJNA679819,SAMN16855451,GEO,public,SRX9538075,GSM4921906,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,GSM4921906,NSG spleen,SRP293518,ETP-ALL,paired-end,78,2 x 39 bp,ALL,Acute lymphoblastic leukemia,PDX,ETP-ALL,Single-cell,ETP-12,NSG spleen,2,0,0,0,0,0,0,1,0,0,0,0,1,T/NK cell,Undecided,ETP-ALL,Malignant cell
SRR13092479,ETP-12_SingleCell_A12_S377,GSM4921907,Public on Jan 01 2021,Nov 20 2020,Jan 03 2021,SRA,1,NSG spleen,Homo sapiens,9606,who classification: ETP-ALL__tissue (isolated from): NSG spleen,total RNA,"PBMCs were isolated using Ficoll-Paque, stained with anti-CD45 FITC. Live single cells were sorted into 96 well plates containing TCL buffer.__Full-length single cell RNA-seq libraries were prepared using the SMART-seq2 protocol. cDNA was fragmented using Nextera XT (Illumina) and amplified with indexed Nextera PCR primers.",ETP-12_ETP-ALL-PDX_003,Adapter trimming was performed using trimmomatic version 0.36__Sequence quality was assessed using fastqc version 0.11.5__Alignment agains human genome was performed using START version 2.5.2b using following parameters -  --twopassMode Basic          --alignIntronMax 100000 --alignMatesGapMax 100000   --alignSJDBoverhangMin 10   --alignSJstitchMismatchNmax 5   -1   5   5 --outSAMstrandField intronMotif --outSAMattributes NH HI NM MD AS XS__Raw counts were obtained from aligned bam files using htseq version 0.9.1__Genome_build: hg19__Supplementary_files_format_and_content: htseq count file with raw counts for all the human genes for individual cells,GPL18573,"Jens,,Lohr","jensg_lohr@dfci.harvard.edu, Birgit_Knoechel@dfci.harvard.edu",617-632-4201,pediatric oncology,Dana Farber Cancer Institute,450 Brookline Ave,Boston,MA,02215,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16855450__SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9538076,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4921nnn/GSM4921907/suppl/GSM4921907_ETP-12_SingleCell_A12_S377_rep1_NA.htseq-count.txt.gz,GSE161896__GSE161901,0,RNA-Seq,PRJNA679819,SAMN16855450,GEO,public,SRX9538076,GSM4921907,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,GSM4921907,NSG spleen,SRP293518,ETP-ALL,paired-end,78,2 x 39 bp,ALL,Acute lymphoblastic leukemia,PDX,ETP-ALL,Single-cell,ETP-12,NSG spleen,2,1,0,0,0,0,1,1,0,0,0,0,1,T/NK cell,Undecided,ETP-ALL,Malignant cell
SRR13092480,ETP-12_SingleCell_A1_S289,GSM4921908,Public on Jan 01 2021,Nov 20 2020,Jan 03 2021,SRA,1,NSG spleen,Homo sapiens,9606,who classification: ETP-ALL__tissue (isolated from): NSG spleen,total RNA,"PBMCs were isolated using Ficoll-Paque, stained with anti-CD45 FITC. Live single cells were sorted into 96 well plates containing TCL buffer.__Full-length single cell RNA-seq libraries were prepared using the SMART-seq2 protocol. cDNA was fragmented using Nextera XT (Illumina) and amplified with indexed Nextera PCR primers.",ETP-12_ETP-ALL-PDX_004,Adapter trimming was performed using trimmomatic version 0.36__Sequence quality was assessed using fastqc version 0.11.5__Alignment agains human genome was performed using START version 2.5.2b using following parameters -  --twopassMode Basic          --alignIntronMax 100000 --alignMatesGapMax 100000   --alignSJDBoverhangMin 10   --alignSJstitchMismatchNmax 5   -1   5   5 --outSAMstrandField intronMotif --outSAMattributes NH HI NM MD AS XS__Raw counts were obtained from aligned bam files using htseq version 0.9.1__Genome_build: hg19__Supplementary_files_format_and_content: htseq count file with raw counts for all the human genes for individual cells,GPL18573,"Jens,,Lohr","jensg_lohr@dfci.harvard.edu, Birgit_Knoechel@dfci.harvard.edu",617-632-4201,pediatric oncology,Dana Farber Cancer Institute,450 Brookline Ave,Boston,MA,02215,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16855449__SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9538077,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4921nnn/GSM4921908/suppl/GSM4921908_ETP-12_SingleCell_A1_S289_rep1_NA.htseq-count.txt.gz,GSE161896__GSE161901,0,RNA-Seq,PRJNA679819,SAMN16855449,GEO,public,SRX9538077,GSM4921908,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,GSM4921908,NSG spleen,SRP293518,ETP-ALL,paired-end,78,2 x 39 bp,ALL,Acute lymphoblastic leukemia,PDX,ETP-ALL,Single-cell,ETP-12,NSG spleen,2,0,0,0,0,0,0,1,0,0,0,0,1,T/NK cell,Undecided,ETP-ALL,Malignant cell
SRR13092481,ETP-12_SingleCell_A2_S297,GSM4921909,Public on Jan 01 2021,Nov 20 2020,Jan 03 2021,SRA,1,NSG spleen,Homo sapiens,9606,who classification: ETP-ALL__tissue (isolated from): NSG spleen,total RNA,"PBMCs were isolated using Ficoll-Paque, stained with anti-CD45 FITC. Live single cells were sorted into 96 well plates containing TCL buffer.__Full-length single cell RNA-seq libraries were prepared using the SMART-seq2 protocol. cDNA was fragmented using Nextera XT (Illumina) and amplified with indexed Nextera PCR primers.",ETP-12_ETP-ALL-PDX_005,Adapter trimming was performed using trimmomatic version 0.36__Sequence quality was assessed using fastqc version 0.11.5__Alignment agains human genome was performed using START version 2.5.2b using following parameters -  --twopassMode Basic          --alignIntronMax 100000 --alignMatesGapMax 100000   --alignSJDBoverhangMin 10   --alignSJstitchMismatchNmax 5   -1   5   5 --outSAMstrandField intronMotif --outSAMattributes NH HI NM MD AS XS__Raw counts were obtained from aligned bam files using htseq version 0.9.1__Genome_build: hg19__Supplementary_files_format_and_content: htseq count file with raw counts for all the human genes for individual cells,GPL18573,"Jens,,Lohr","jensg_lohr@dfci.harvard.edu, Birgit_Knoechel@dfci.harvard.edu",617-632-4201,pediatric oncology,Dana Farber Cancer Institute,450 Brookline Ave,Boston,MA,02215,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16855448__SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9538078,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4921nnn/GSM4921909/suppl/GSM4921909_ETP-12_SingleCell_A2_S297_rep1_NA.htseq-count.txt.gz,GSE161896__GSE161901,0,RNA-Seq,PRJNA679819,SAMN16855448,GEO,public,SRX9538078,GSM4921909,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,GSM4921909,NSG spleen,SRP293518,ETP-ALL,paired-end,78,2 x 39 bp,ALL,Acute lymphoblastic leukemia,PDX,ETP-ALL,Single-cell,ETP-12,NSG spleen,2,1,0,0,0,0,1,1,0,0,0,0,1,T/NK cell,Undecided,ETP-ALL,Malignant cell
SRR13092482,ETP-12_SingleCell_A3_S305,GSM4921910,Public on Jan 01 2021,Nov 20 2020,Jan 03 2021,SRA,1,NSG spleen,Homo sapiens,9606,who classification: ETP-ALL__tissue (isolated from): NSG spleen,total RNA,"PBMCs were isolated using Ficoll-Paque, stained with anti-CD45 FITC. Live single cells were sorted into 96 well plates containing TCL buffer.__Full-length single cell RNA-seq libraries were prepared using the SMART-seq2 protocol. cDNA was fragmented using Nextera XT (Illumina) and amplified with indexed Nextera PCR primers.",ETP-12_ETP-ALL-PDX_006,Adapter trimming was performed using trimmomatic version 0.36__Sequence quality was assessed using fastqc version 0.11.5__Alignment agains human genome was performed using START version 2.5.2b using following parameters -  --twopassMode Basic          --alignIntronMax 100000 --alignMatesGapMax 100000   --alignSJDBoverhangMin 10   --alignSJstitchMismatchNmax 5   -1   5   5 --outSAMstrandField intronMotif --outSAMattributes NH HI NM MD AS XS__Raw counts were obtained from aligned bam files using htseq version 0.9.1__Genome_build: hg19__Supplementary_files_format_and_content: htseq count file with raw counts for all the human genes for individual cells,GPL18573,"Jens,,Lohr","jensg_lohr@dfci.harvard.edu, Birgit_Knoechel@dfci.harvard.edu",617-632-4201,pediatric oncology,Dana Farber Cancer Institute,450 Brookline Ave,Boston,MA,02215,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16855447__SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9538079,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4921nnn/GSM4921910/suppl/GSM4921910_ETP-12_SingleCell_A3_S305_rep1_NA.htseq-count.txt.gz,GSE161896__GSE161901,0,RNA-Seq,PRJNA679819,SAMN16855447,GEO,public,SRX9538079,GSM4921910,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,GSM4921910,NSG spleen,SRP293518,ETP-ALL,paired-end,78,2 x 39 bp,ALL,Acute lymphoblastic leukemia,PDX,ETP-ALL,Single-cell,ETP-12,NSG spleen,2,1,0,0,0,0,1,1,0,0,0,0,1,T/NK cell,Undecided,ETP-ALL,Malignant cell
SRR13092483,ETP-12_SingleCell_A4_S313,GSM4921911,Public on Jan 01 2021,Nov 20 2020,Jan 03 2021,SRA,1,NSG spleen,Homo sapiens,9606,who classification: ETP-ALL__tissue (isolated from): NSG spleen,total RNA,"PBMCs were isolated using Ficoll-Paque, stained with anti-CD45 FITC. Live single cells were sorted into 96 well plates containing TCL buffer.__Full-length single cell RNA-seq libraries were prepared using the SMART-seq2 protocol. cDNA was fragmented using Nextera XT (Illumina) and amplified with indexed Nextera PCR primers.",ETP-12_ETP-ALL-PDX_007,Adapter trimming was performed using trimmomatic version 0.36__Sequence quality was assessed using fastqc version 0.11.5__Alignment agains human genome was performed using START version 2.5.2b using following parameters -  --twopassMode Basic          --alignIntronMax 100000 --alignMatesGapMax 100000   --alignSJDBoverhangMin 10   --alignSJstitchMismatchNmax 5   -1   5   5 --outSAMstrandField intronMotif --outSAMattributes NH HI NM MD AS XS__Raw counts were obtained from aligned bam files using htseq version 0.9.1__Genome_build: hg19__Supplementary_files_format_and_content: htseq count file with raw counts for all the human genes for individual cells,GPL18573,"Jens,,Lohr","jensg_lohr@dfci.harvard.edu, Birgit_Knoechel@dfci.harvard.edu",617-632-4201,pediatric oncology,Dana Farber Cancer Institute,450 Brookline Ave,Boston,MA,02215,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16855446__SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9538080,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4921nnn/GSM4921911/suppl/GSM4921911_ETP-12_SingleCell_A4_S313_rep1_NA.htseq-count.txt.gz,GSE161896__GSE161901,0,RNA-Seq,PRJNA679819,SAMN16855446,GEO,public,SRX9538080,GSM4921911,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,GSM4921911,NSG spleen,SRP293518,ETP-ALL,paired-end,78,2 x 39 bp,ALL,Acute lymphoblastic leukemia,PDX,ETP-ALL,Single-cell,ETP-12,NSG spleen,2,1,0,0,0,1,1,1,1,0,0,0,1,T/NK cell,Undecided,ETP-ALL,Malignant cell
SRR13092484,ETP-12_SingleCell_A5_S321,GSM4921912,Public on Jan 01 2021,Nov 20 2020,Jan 03 2021,SRA,1,NSG spleen,Homo sapiens,9606,who classification: ETP-ALL__tissue (isolated from): NSG spleen,total RNA,"PBMCs were isolated using Ficoll-Paque, stained with anti-CD45 FITC. Live single cells were sorted into 96 well plates containing TCL buffer.__Full-length single cell RNA-seq libraries were prepared using the SMART-seq2 protocol. cDNA was fragmented using Nextera XT (Illumina) and amplified with indexed Nextera PCR primers.",ETP-12_ETP-ALL-PDX_008,Adapter trimming was performed using trimmomatic version 0.36__Sequence quality was assessed using fastqc version 0.11.5__Alignment agains human genome was performed using START version 2.5.2b using following parameters -  --twopassMode Basic          --alignIntronMax 100000 --alignMatesGapMax 100000   --alignSJDBoverhangMin 10   --alignSJstitchMismatchNmax 5   -1   5   5 --outSAMstrandField intronMotif --outSAMattributes NH HI NM MD AS XS__Raw counts were obtained from aligned bam files using htseq version 0.9.1__Genome_build: hg19__Supplementary_files_format_and_content: htseq count file with raw counts for all the human genes for individual cells,GPL18573,"Jens,,Lohr","jensg_lohr@dfci.harvard.edu, Birgit_Knoechel@dfci.harvard.edu",617-632-4201,pediatric oncology,Dana Farber Cancer Institute,450 Brookline Ave,Boston,MA,02215,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16855445__SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9538081,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4921nnn/GSM4921912/suppl/GSM4921912_ETP-12_SingleCell_A5_S321_rep1_NA.htseq-count.txt.gz,GSE161896__GSE161901,0,RNA-Seq,PRJNA679819,SAMN16855445,GEO,public,SRX9538081,GSM4921912,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,GSM4921912,NSG spleen,SRP293518,ETP-ALL,paired-end,78,2 x 39 bp,ALL,Acute lymphoblastic leukemia,PDX,ETP-ALL,Single-cell,ETP-12,NSG spleen,2,1,0,0,0,0,1,1,0,0,0,0,1,T/NK cell,Undecided,ETP-ALL,Malignant cell
SRR13092485,ETP-12_SingleCell_A6_S329,GSM4921913,Public on Jan 01 2021,Nov 20 2020,Jan 03 2021,SRA,1,NSG spleen,Homo sapiens,9606,who classification: ETP-ALL__tissue (isolated from): NSG spleen,total RNA,"PBMCs were isolated using Ficoll-Paque, stained with anti-CD45 FITC. Live single cells were sorted into 96 well plates containing TCL buffer.__Full-length single cell RNA-seq libraries were prepared using the SMART-seq2 protocol. cDNA was fragmented using Nextera XT (Illumina) and amplified with indexed Nextera PCR primers.",ETP-12_ETP-ALL-PDX_009,Adapter trimming was performed using trimmomatic version 0.36__Sequence quality was assessed using fastqc version 0.11.5__Alignment agains human genome was performed using START version 2.5.2b using following parameters -  --twopassMode Basic          --alignIntronMax 100000 --alignMatesGapMax 100000   --alignSJDBoverhangMin 10   --alignSJstitchMismatchNmax 5   -1   5   5 --outSAMstrandField intronMotif --outSAMattributes NH HI NM MD AS XS__Raw counts were obtained from aligned bam files using htseq version 0.9.1__Genome_build: hg19__Supplementary_files_format_and_content: htseq count file with raw counts for all the human genes for individual cells,GPL18573,"Jens,,Lohr","jensg_lohr@dfci.harvard.edu, Birgit_Knoechel@dfci.harvard.edu",617-632-4201,pediatric oncology,Dana Farber Cancer Institute,450 Brookline Ave,Boston,MA,02215,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16855444__SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9538082,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4921nnn/GSM4921913/suppl/GSM4921913_ETP-12_SingleCell_A6_S329_rep1_NA.htseq-count.txt.gz,GSE161896__GSE161901,0,RNA-Seq,PRJNA679819,SAMN16855444,GEO,public,SRX9538082,GSM4921913,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,GSM4921913,NSG spleen,SRP293518,ETP-ALL,paired-end,78,2 x 39 bp,ALL,Acute lymphoblastic leukemia,PDX,ETP-ALL,Single-cell,ETP-12,NSG spleen,2,1,0,0,0,0,1,1,0,0,0,0,1,T/NK cell,Undecided,ETP-ALL,Malignant cell
SRR13092486,ETP-12_SingleCell_A7_S337,GSM4921914,Public on Jan 01 2021,Nov 20 2020,Jan 03 2021,SRA,1,NSG spleen,Homo sapiens,9606,who classification: ETP-ALL__tissue (isolated from): NSG spleen,total RNA,"PBMCs were isolated using Ficoll-Paque, stained with anti-CD45 FITC. Live single cells were sorted into 96 well plates containing TCL buffer.__Full-length single cell RNA-seq libraries were prepared using the SMART-seq2 protocol. cDNA was fragmented using Nextera XT (Illumina) and amplified with indexed Nextera PCR primers.",ETP-12_ETP-ALL-PDX_010,Adapter trimming was performed using trimmomatic version 0.36__Sequence quality was assessed using fastqc version 0.11.5__Alignment agains human genome was performed using START version 2.5.2b using following parameters -  --twopassMode Basic          --alignIntronMax 100000 --alignMatesGapMax 100000   --alignSJDBoverhangMin 10   --alignSJstitchMismatchNmax 5   -1   5   5 --outSAMstrandField intronMotif --outSAMattributes NH HI NM MD AS XS__Raw counts were obtained from aligned bam files using htseq version 0.9.1__Genome_build: hg19__Supplementary_files_format_and_content: htseq count file with raw counts for all the human genes for individual cells,GPL18573,"Jens,,Lohr","jensg_lohr@dfci.harvard.edu, Birgit_Knoechel@dfci.harvard.edu",617-632-4201,pediatric oncology,Dana Farber Cancer Institute,450 Brookline Ave,Boston,MA,02215,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16855443__SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9538083,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4921nnn/GSM4921914/suppl/GSM4921914_ETP-12_SingleCell_A7_S337_rep1_NA.htseq-count.txt.gz,GSE161896__GSE161901,0,RNA-Seq,PRJNA679819,SAMN16855443,GEO,public,SRX9538083,GSM4921914,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,GSM4921914,NSG spleen,SRP293518,ETP-ALL,paired-end,78,2 x 39 bp,ALL,Acute lymphoblastic leukemia,PDX,ETP-ALL,Single-cell,ETP-12,NSG spleen,2,0,0,0,0,0,1,1,0,0,0,0,1,T/NK cell,Undecided,ETP-ALL,Malignant cell
