,title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,taxid_ch1,characteristics_ch1,growth_protocol_ch1,molecule_ch1,extract_protocol_ch1,description,data_processing,platform_id,contact_name,contact_email,contact_laboratory,contact_department,contact_institute,contact_address,contact_city,contact_state,contact_zip/postal_code,contact_country,instrument_model,library_selection,library_source,library_strategy,relation,supplementary_file_1,series_id,data_row_count,Assay Type,BioProject,BioSample,Cell_type,Center Name,Consent,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Patient,Platform,Sample Name,source_name,SRA Study,Mouse_ID,treatment,cell_status,library,read_length,read_length_description,tumor_abbreviation,tumor_name,source,tumor_subtype,pooled_or_single,group_assign,leiden,Melanocyte,Hepatocyte,Epithelial cell,Fibroblast,Endothelial cell,B/Plasma cell,T/NK cell,Macro/Mono/DC,Oligodendrocyte,Neuron,Astrocyte,HSC,cell_type,confidence,donor,cell_label
SRR3654806,bulk RNA-seq M1283LRC,GSM2194988,Public on Dec 06 2016,Jun 09 2016,May 15 2019,SRA,1,PDX Sample ALL-199,Homo sapiens,9606,patient: BCP-ALL pediatric__mouse id: NOD scid gamma__cell type: PDX cell__cell status: LRC,human patient cells are grown as patient-derived xenograft cells in immunodeficient NOD scid gamma mice and re-isolated from bone marrow,total RNA,"cDNA synthesis protocol: Cells were sorted into lysis buffer composed of 0.2 % Triton X-100 (Sigma) and 2 U/μl of RNAse Inhibitor (Life Technologies). ERCC spike-in controls (Life Technologies) were added to the cell lysis mix at 1:5,000 dilution. RNA was cleaned-up from the crude lysate with Agencourt RNAclean XP SPRI beads (Beckman-Coulter). cDNA was synthesized and pre-amplified from 5 μl of lysate according to the Smart-seq2 protocol (Picelli et al., 2013)__0.2-1 ng of pre-amplified cDNA was used as input for tagmentation by the Nextera XT Sample Preparation Kit (Illumina), where amplification was performed for 12-14 PCR cycles.__Cells were isolated from the murine bone marrow, enriched by a MACS step and sorted for the population of interest. All steps were performed at 4°C.",M1283LRC,"Sequencing reads were demultiplexed from the Nextera (i5 and i7) indices using deML (Renaud 2014, Bioinformatics)__Demultiplexed reads were aligned to the human genome (hg19) and ERCC reference using NextGenMap (Sedlazeck et al., 2013)__Count data was generated from mapped reads using featureCounts (Liao et al., 2014) on ENSEMBL gene models (GRCh38.74)__Genome_build: hg19__Supplementary_files_format_and_content: [.txt] processed data files are text files with count data, where columns equal to samples and rows equal to genes",GPL18460,"Christoph,,Ziegenhain",ziegenhain@bio.lmu.de,Anthropology & Human genomics,Department Biology II,Ludwig-Maximilians University Munich,Großhaderner Str. 2,Martinsried,Bavaria,82152,Germany,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05220047__SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1835128,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2194nnn/GSM2194988/suppl/GSM2194988_M1283LRC.counts.txt.gz,GSE83142,0,RNA-Seq,PRJNA325123,SAMN05220047,PDX cell,GEO,public,SRX1835128,GSM2194988,Illumina HiSeq 1500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,BCP-ALL pediatric,ILLUMINA,GSM2194988,PDX Sample ALL-199,SRP076334,NOD scid gamma,NA,LRC,single-end,51,51 bp,ALL,Acute lymphoblastic leukemia,PDX,BCP-ALL pediatric,Bulk,LRC,6,1,0,0,0,0,1,1,1,0,0,0,1,B/Plasma cell,Undecided,BCP-ALL pediatric,Malignant cell
SRR3654807,bulk RNA-seq M1283nonLRC,GSM2194989,Public on Dec 06 2016,Jun 09 2016,May 15 2019,SRA,1,PDX Sample ALL-199,Homo sapiens,9606,patient: BCP-ALL pediatric__mouse id: NOD scid gamma__cell type: PDX cell__cell status: non-LRC,human patient cells are grown as patient-derived xenograft cells in immunodeficient NOD scid gamma mice and re-isolated from bone marrow,total RNA,"cDNA synthesis protocol: Cells were sorted into lysis buffer composed of 0.2 % Triton X-100 (Sigma) and 2 U/μl of RNAse Inhibitor (Life Technologies). ERCC spike-in controls (Life Technologies) were added to the cell lysis mix at 1:5,000 dilution. RNA was cleaned-up from the crude lysate with Agencourt RNAclean XP SPRI beads (Beckman-Coulter). cDNA was synthesized and pre-amplified from 5 μl of lysate according to the Smart-seq2 protocol (Picelli et al., 2013)__0.2-1 ng of pre-amplified cDNA was used as input for tagmentation by the Nextera XT Sample Preparation Kit (Illumina), where amplification was performed for 12-14 PCR cycles.__Cells were isolated from the murine bone marrow, enriched by a MACS step and sorted for the population of interest. All steps were performed at 4°C.",M1283non,"Sequencing reads were demultiplexed from the Nextera (i5 and i7) indices using deML (Renaud 2014, Bioinformatics)__Demultiplexed reads were aligned to the human genome (hg19) and ERCC reference using NextGenMap (Sedlazeck et al., 2013)__Count data was generated from mapped reads using featureCounts (Liao et al., 2014) on ENSEMBL gene models (GRCh38.74)__Genome_build: hg19__Supplementary_files_format_and_content: [.txt] processed data files are text files with count data, where columns equal to samples and rows equal to genes",GPL18460,"Christoph,,Ziegenhain",ziegenhain@bio.lmu.de,Anthropology & Human genomics,Department Biology II,Ludwig-Maximilians University Munich,Großhaderner Str. 2,Martinsried,Bavaria,82152,Germany,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05220048__SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1835129,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2194nnn/GSM2194989/suppl/GSM2194989_M1283non.counts.txt.gz,GSE83142,0,RNA-Seq,PRJNA325123,SAMN05220048,PDX cell,GEO,public,SRX1835129,GSM2194989,Illumina HiSeq 1500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,BCP-ALL pediatric,ILLUMINA,GSM2194989,PDX Sample ALL-199,SRP076334,NOD scid gamma,NA,non-LRC,single-end,51,51 bp,ALL,Acute lymphoblastic leukemia,PDX,BCP-ALL pediatric,Bulk,non-LRC,6,1,0,0,0,0,1,1,0,0,0,0,1,B/Plasma cell,Undecided,BCP-ALL pediatric,Malignant cell
SRR3654808,bulk RNA-seq M1284LRC,GSM2194990,Public on Dec 06 2016,Jun 09 2016,May 15 2019,SRA,1,PDX Sample ALL-199,Homo sapiens,9606,patient: BCP-ALL pediatric__mouse id: NOD scid gamma__cell type: PDX cell__cell status: LRC,human patient cells are grown as patient-derived xenograft cells in immunodeficient NOD scid gamma mice and re-isolated from bone marrow,total RNA,"cDNA synthesis protocol: Cells were sorted into lysis buffer composed of 0.2 % Triton X-100 (Sigma) and 2 U/μl of RNAse Inhibitor (Life Technologies). ERCC spike-in controls (Life Technologies) were added to the cell lysis mix at 1:5,000 dilution. RNA was cleaned-up from the crude lysate with Agencourt RNAclean XP SPRI beads (Beckman-Coulter). cDNA was synthesized and pre-amplified from 5 μl of lysate according to the Smart-seq2 protocol (Picelli et al., 2013)__0.2-1 ng of pre-amplified cDNA was used as input for tagmentation by the Nextera XT Sample Preparation Kit (Illumina), where amplification was performed for 12-14 PCR cycles.__Cells were isolated from the murine bone marrow, enriched by a MACS step and sorted for the population of interest. All steps were performed at 4°C.",M1284LRC,"Sequencing reads were demultiplexed from the Nextera (i5 and i7) indices using deML (Renaud 2014, Bioinformatics)__Demultiplexed reads were aligned to the human genome (hg19) and ERCC reference using NextGenMap (Sedlazeck et al., 2013)__Count data was generated from mapped reads using featureCounts (Liao et al., 2014) on ENSEMBL gene models (GRCh38.74)__Genome_build: hg19__Supplementary_files_format_and_content: [.txt] processed data files are text files with count data, where columns equal to samples and rows equal to genes",GPL18460,"Christoph,,Ziegenhain",ziegenhain@bio.lmu.de,Anthropology & Human genomics,Department Biology II,Ludwig-Maximilians University Munich,Großhaderner Str. 2,Martinsried,Bavaria,82152,Germany,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05220049__SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1835130,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2194nnn/GSM2194990/suppl/GSM2194990_M1284LRC.counts.txt.gz,GSE83142,0,RNA-Seq,PRJNA325123,SAMN05220049,PDX cell,GEO,public,SRX1835130,GSM2194990,Illumina HiSeq 1500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,BCP-ALL pediatric,ILLUMINA,GSM2194990,PDX Sample ALL-199,SRP076334,NOD scid gamma,NA,LRC,single-end,51,51 bp,ALL,Acute lymphoblastic leukemia,PDX,BCP-ALL pediatric,Bulk,LRC,6,1,0,0,0,0,1,1,1,0,0,1,1,B/Plasma cell,Undecided,BCP-ALL pediatric,Malignant cell
SRR3654809,bulk RNA-seq M1284nonLRC,GSM2194991,Public on Dec 06 2016,Jun 09 2016,May 15 2019,SRA,1,PDX Sample ALL-199,Homo sapiens,9606,patient: BCP-ALL pediatric__mouse id: NOD scid gamma__cell type: PDX cell__cell status: non-LRC,human patient cells are grown as patient-derived xenograft cells in immunodeficient NOD scid gamma mice and re-isolated from bone marrow,total RNA,"cDNA synthesis protocol: Cells were sorted into lysis buffer composed of 0.2 % Triton X-100 (Sigma) and 2 U/μl of RNAse Inhibitor (Life Technologies). ERCC spike-in controls (Life Technologies) were added to the cell lysis mix at 1:5,000 dilution. RNA was cleaned-up from the crude lysate with Agencourt RNAclean XP SPRI beads (Beckman-Coulter). cDNA was synthesized and pre-amplified from 5 μl of lysate according to the Smart-seq2 protocol (Picelli et al., 2013)__0.2-1 ng of pre-amplified cDNA was used as input for tagmentation by the Nextera XT Sample Preparation Kit (Illumina), where amplification was performed for 12-14 PCR cycles.__Cells were isolated from the murine bone marrow, enriched by a MACS step and sorted for the population of interest. All steps were performed at 4°C.",M1284non,"Sequencing reads were demultiplexed from the Nextera (i5 and i7) indices using deML (Renaud 2014, Bioinformatics)__Demultiplexed reads were aligned to the human genome (hg19) and ERCC reference using NextGenMap (Sedlazeck et al., 2013)__Count data was generated from mapped reads using featureCounts (Liao et al., 2014) on ENSEMBL gene models (GRCh38.74)__Genome_build: hg19__Supplementary_files_format_and_content: [.txt] processed data files are text files with count data, where columns equal to samples and rows equal to genes",GPL18460,"Christoph,,Ziegenhain",ziegenhain@bio.lmu.de,Anthropology & Human genomics,Department Biology II,Ludwig-Maximilians University Munich,Großhaderner Str. 2,Martinsried,Bavaria,82152,Germany,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05220050__SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1835131,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2194nnn/GSM2194991/suppl/GSM2194991_M1284non.counts.txt.gz,GSE83142,0,RNA-Seq,PRJNA325123,SAMN05220050,PDX cell,GEO,public,SRX1835131,GSM2194991,Illumina HiSeq 1500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,BCP-ALL pediatric,ILLUMINA,GSM2194991,PDX Sample ALL-199,SRP076334,NOD scid gamma,NA,non-LRC,single-end,51,51 bp,ALL,Acute lymphoblastic leukemia,PDX,BCP-ALL pediatric,Bulk,non-LRC,6,1,0,0,0,0,1,1,0,0,0,0,1,B/Plasma cell,Undecided,BCP-ALL pediatric,Malignant cell
SRR3654810,bulk RNA-seq M1287LRC,GSM2194992,Public on Dec 06 2016,Jun 09 2016,May 15 2019,SRA,1,PDX Sample ALL-199,Homo sapiens,9606,patient: BCP-ALL pediatric__mouse id: NOD scid gamma__cell type: PDX cell__cell status: LRC,human patient cells are grown as patient-derived xenograft cells in immunodeficient NOD scid gamma mice and re-isolated from bone marrow,total RNA,"cDNA synthesis protocol: Cells were sorted into lysis buffer composed of 0.2 % Triton X-100 (Sigma) and 2 U/μl of RNAse Inhibitor (Life Technologies). ERCC spike-in controls (Life Technologies) were added to the cell lysis mix at 1:5,000 dilution. RNA was cleaned-up from the crude lysate with Agencourt RNAclean XP SPRI beads (Beckman-Coulter). cDNA was synthesized and pre-amplified from 5 μl of lysate according to the Smart-seq2 protocol (Picelli et al., 2013)__0.2-1 ng of pre-amplified cDNA was used as input for tagmentation by the Nextera XT Sample Preparation Kit (Illumina), where amplification was performed for 12-14 PCR cycles.__Cells were isolated from the murine bone marrow, enriched by a MACS step and sorted for the population of interest. All steps were performed at 4°C.",M1287LRC,"Sequencing reads were demultiplexed from the Nextera (i5 and i7) indices using deML (Renaud 2014, Bioinformatics)__Demultiplexed reads were aligned to the human genome (hg19) and ERCC reference using NextGenMap (Sedlazeck et al., 2013)__Count data was generated from mapped reads using featureCounts (Liao et al., 2014) on ENSEMBL gene models (GRCh38.74)__Genome_build: hg19__Supplementary_files_format_and_content: [.txt] processed data files are text files with count data, where columns equal to samples and rows equal to genes",GPL18460,"Christoph,,Ziegenhain",ziegenhain@bio.lmu.de,Anthropology & Human genomics,Department Biology II,Ludwig-Maximilians University Munich,Großhaderner Str. 2,Martinsried,Bavaria,82152,Germany,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05220051__SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1835132,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2194nnn/GSM2194992/suppl/GSM2194992_M1287LRC.counts.txt.gz,GSE83142,0,RNA-Seq,PRJNA325123,SAMN05220051,PDX cell,GEO,public,SRX1835132,GSM2194992,Illumina HiSeq 1500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,BCP-ALL pediatric,ILLUMINA,GSM2194992,PDX Sample ALL-199,SRP076334,NOD scid gamma,NA,LRC,single-end,51,51 bp,ALL,Acute lymphoblastic leukemia,PDX,BCP-ALL pediatric,Bulk,LRC,6,1,0,0,0,0,1,1,0,0,0,0,1,B/Plasma cell,Undecided,BCP-ALL pediatric,Malignant cell
SRR3654811,bulk RNA-seq M1287nonLRC,GSM2194993,Public on Dec 06 2016,Jun 09 2016,May 15 2019,SRA,1,PDX Sample ALL-199,Homo sapiens,9606,patient: BCP-ALL pediatric__mouse id: NOD scid gamma__cell type: PDX cell__cell status: non-LRC,human patient cells are grown as patient-derived xenograft cells in immunodeficient NOD scid gamma mice and re-isolated from bone marrow,total RNA,"cDNA synthesis protocol: Cells were sorted into lysis buffer composed of 0.2 % Triton X-100 (Sigma) and 2 U/μl of RNAse Inhibitor (Life Technologies). ERCC spike-in controls (Life Technologies) were added to the cell lysis mix at 1:5,000 dilution. RNA was cleaned-up from the crude lysate with Agencourt RNAclean XP SPRI beads (Beckman-Coulter). cDNA was synthesized and pre-amplified from 5 μl of lysate according to the Smart-seq2 protocol (Picelli et al., 2013)__0.2-1 ng of pre-amplified cDNA was used as input for tagmentation by the Nextera XT Sample Preparation Kit (Illumina), where amplification was performed for 12-14 PCR cycles.__Cells were isolated from the murine bone marrow, enriched by a MACS step and sorted for the population of interest. All steps were performed at 4°C.",M1287non,"Sequencing reads were demultiplexed from the Nextera (i5 and i7) indices using deML (Renaud 2014, Bioinformatics)__Demultiplexed reads were aligned to the human genome (hg19) and ERCC reference using NextGenMap (Sedlazeck et al., 2013)__Count data was generated from mapped reads using featureCounts (Liao et al., 2014) on ENSEMBL gene models (GRCh38.74)__Genome_build: hg19__Supplementary_files_format_and_content: [.txt] processed data files are text files with count data, where columns equal to samples and rows equal to genes",GPL18460,"Christoph,,Ziegenhain",ziegenhain@bio.lmu.de,Anthropology & Human genomics,Department Biology II,Ludwig-Maximilians University Munich,Großhaderner Str. 2,Martinsried,Bavaria,82152,Germany,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05220052__SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1835133,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2194nnn/GSM2194993/suppl/GSM2194993_M1287non.counts.txt.gz,GSE83142,0,RNA-Seq,PRJNA325123,SAMN05220052,PDX cell,GEO,public,SRX1835133,GSM2194993,Illumina HiSeq 1500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,BCP-ALL pediatric,ILLUMINA,GSM2194993,PDX Sample ALL-199,SRP076334,NOD scid gamma,NA,non-LRC,single-end,51,51 bp,ALL,Acute lymphoblastic leukemia,PDX,BCP-ALL pediatric,Bulk,non-LRC,6,1,0,0,0,0,1,1,0,0,0,0,1,B/Plasma cell,Undecided,BCP-ALL pediatric,Malignant cell
SRR3654812,bulk RNA-seq M1289LRC,GSM2194994,Public on Dec 06 2016,Jun 09 2016,May 15 2019,SRA,1,PDX Sample ALL-265,Homo sapiens,9606,patient: BCP-ALL pediatric__mouse id: NOD scid gamma__cell type: PDX cell__cell status: LRC,human patient cells are grown as patient-derived xenograft cells in immunodeficient NOD scid gamma mice and re-isolated from bone marrow,total RNA,"cDNA synthesis protocol: Cells were sorted into lysis buffer composed of 0.2 % Triton X-100 (Sigma) and 2 U/μl of RNAse Inhibitor (Life Technologies). ERCC spike-in controls (Life Technologies) were added to the cell lysis mix at 1:5,000 dilution. RNA was cleaned-up from the crude lysate with Agencourt RNAclean XP SPRI beads (Beckman-Coulter). cDNA was synthesized and pre-amplified from 5 μl of lysate according to the Smart-seq2 protocol (Picelli et al., 2013)__0.2-1 ng of pre-amplified cDNA was used as input for tagmentation by the Nextera XT Sample Preparation Kit (Illumina), where amplification was performed for 12-14 PCR cycles.__Cells were isolated from the murine bone marrow, enriched by a MACS step and sorted for the population of interest. All steps were performed at 4°C.",M1289LRC,"Sequencing reads were demultiplexed from the Nextera (i5 and i7) indices using deML (Renaud 2014, Bioinformatics)__Demultiplexed reads were aligned to the human genome (hg19) and ERCC reference using NextGenMap (Sedlazeck et al., 2013)__Count data was generated from mapped reads using featureCounts (Liao et al., 2014) on ENSEMBL gene models (GRCh38.74)__Genome_build: hg19__Supplementary_files_format_and_content: [.txt] processed data files are text files with count data, where columns equal to samples and rows equal to genes",GPL18460,"Christoph,,Ziegenhain",ziegenhain@bio.lmu.de,Anthropology & Human genomics,Department Biology II,Ludwig-Maximilians University Munich,Großhaderner Str. 2,Martinsried,Bavaria,82152,Germany,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05220053__SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1835134,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2194nnn/GSM2194994/suppl/GSM2194994_M1289LRC.counts.txt.gz,GSE83142,0,RNA-Seq,PRJNA325123,SAMN05220053,PDX cell,GEO,public,SRX1835134,GSM2194994,Illumina HiSeq 1500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,BCP-ALL pediatric,ILLUMINA,GSM2194994,PDX Sample ALL-265,SRP076334,NOD scid gamma,NA,LRC,single-end,51,51 bp,ALL,Acute lymphoblastic leukemia,PDX,BCP-ALL pediatric,Bulk,LRC,6,1,0,0,0,0,1,1,1,0,0,0,1,B/Plasma cell,Undecided,BCP-ALL pediatric,Malignant cell
SRR3654813,bulk RNA-seq M1289nonLRC,GSM2194995,Public on Dec 06 2016,Jun 09 2016,May 15 2019,SRA,1,PDX Sample ALL-265,Homo sapiens,9606,patient: BCP-ALL pediatric__mouse id: NOD scid gamma__cell type: PDX cell__cell status: non-LRC,human patient cells are grown as patient-derived xenograft cells in immunodeficient NOD scid gamma mice and re-isolated from bone marrow,total RNA,"cDNA synthesis protocol: Cells were sorted into lysis buffer composed of 0.2 % Triton X-100 (Sigma) and 2 U/μl of RNAse Inhibitor (Life Technologies). ERCC spike-in controls (Life Technologies) were added to the cell lysis mix at 1:5,000 dilution. RNA was cleaned-up from the crude lysate with Agencourt RNAclean XP SPRI beads (Beckman-Coulter). cDNA was synthesized and pre-amplified from 5 μl of lysate according to the Smart-seq2 protocol (Picelli et al., 2013)__0.2-1 ng of pre-amplified cDNA was used as input for tagmentation by the Nextera XT Sample Preparation Kit (Illumina), where amplification was performed for 12-14 PCR cycles.__Cells were isolated from the murine bone marrow, enriched by a MACS step and sorted for the population of interest. All steps were performed at 4°C.",M1289non,"Sequencing reads were demultiplexed from the Nextera (i5 and i7) indices using deML (Renaud 2014, Bioinformatics)__Demultiplexed reads were aligned to the human genome (hg19) and ERCC reference using NextGenMap (Sedlazeck et al., 2013)__Count data was generated from mapped reads using featureCounts (Liao et al., 2014) on ENSEMBL gene models (GRCh38.74)__Genome_build: hg19__Supplementary_files_format_and_content: [.txt] processed data files are text files with count data, where columns equal to samples and rows equal to genes",GPL18460,"Christoph,,Ziegenhain",ziegenhain@bio.lmu.de,Anthropology & Human genomics,Department Biology II,Ludwig-Maximilians University Munich,Großhaderner Str. 2,Martinsried,Bavaria,82152,Germany,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05220054__SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1835135,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2194nnn/GSM2194995/suppl/GSM2194995_M1289non.counts.txt.gz,GSE83142,0,RNA-Seq,PRJNA325123,SAMN05220054,PDX cell,GEO,public,SRX1835135,GSM2194995,Illumina HiSeq 1500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,BCP-ALL pediatric,ILLUMINA,GSM2194995,PDX Sample ALL-265,SRP076334,NOD scid gamma,NA,non-LRC,single-end,51,51 bp,ALL,Acute lymphoblastic leukemia,PDX,BCP-ALL pediatric,Bulk,non-LRC,6,1,0,0,0,0,1,0,1,0,0,0,1,B/Plasma cell,Undecided,BCP-ALL pediatric,Malignant cell
SRR3654814,bulk RNA-seq M772LRC,GSM2194996,Public on Dec 06 2016,Jun 09 2016,May 15 2019,SRA,1,PDX Sample ALL-199,Homo sapiens,9606,patient: BCP-ALL pediatric__mouse id: NOD scid gamma__cell type: PDX cell__cell status: LRC,human patient cells are grown as patient-derived xenograft cells in immunodeficient NOD scid gamma mice and re-isolated from bone marrow,total RNA,"cDNA synthesis protocol: Cells were sorted into lysis buffer composed of 0.2 % Triton X-100 (Sigma) and 2 U/μl of RNAse Inhibitor (Life Technologies). ERCC spike-in controls (Life Technologies) were added to the cell lysis mix at 1:5,000 dilution. RNA was cleaned-up from the crude lysate with Agencourt RNAclean XP SPRI beads (Beckman-Coulter). cDNA was synthesized and pre-amplified from 5 μl of lysate according to the Smart-seq2 protocol (Picelli et al., 2013)__0.2-1 ng of pre-amplified cDNA was used as input for tagmentation by the Nextera XT Sample Preparation Kit (Illumina), where amplification was performed for 12-14 PCR cycles.__Cells were isolated from the murine bone marrow, enriched by a MACS step and sorted for the population of interest. All steps were performed at 4°C.",M772LRC,"Sequencing reads were demultiplexed from the Nextera (i5 and i7) indices using deML (Renaud 2014, Bioinformatics)__Demultiplexed reads were aligned to the human genome (hg19) and ERCC reference using NextGenMap (Sedlazeck et al., 2013)__Count data was generated from mapped reads using featureCounts (Liao et al., 2014) on ENSEMBL gene models (GRCh38.74)__Genome_build: hg19__Supplementary_files_format_and_content: [.txt] processed data files are text files with count data, where columns equal to samples and rows equal to genes",GPL18460,"Christoph,,Ziegenhain",ziegenhain@bio.lmu.de,Anthropology & Human genomics,Department Biology II,Ludwig-Maximilians University Munich,Großhaderner Str. 2,Martinsried,Bavaria,82152,Germany,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05220055__SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1835136,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2194nnn/GSM2194996/suppl/GSM2194996_M772LRC.counts.txt.gz,GSE83142,0,RNA-Seq,PRJNA325123,SAMN05220055,PDX cell,GEO,public,SRX1835136,GSM2194996,Illumina HiSeq 1500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,BCP-ALL pediatric,ILLUMINA,GSM2194996,PDX Sample ALL-199,SRP076334,NOD scid gamma,NA,LRC,single-end,51,51 bp,ALL,Acute lymphoblastic leukemia,PDX,BCP-ALL pediatric,Bulk,LRC,6,1,0,0,0,0,1,1,0,0,0,0,1,B/Plasma cell,Undecided,BCP-ALL pediatric,Malignant cell
SRR3654815,bulk RNA-seq M772nonLRC,GSM2194997,Public on Dec 06 2016,Jun 09 2016,May 15 2019,SRA,1,PDX Sample ALL-199,Homo sapiens,9606,patient: BCP-ALL pediatric__mouse id: NOD scid gamma__cell type: PDX cell__cell status: non-LRC,human patient cells are grown as patient-derived xenograft cells in immunodeficient NOD scid gamma mice and re-isolated from bone marrow,total RNA,"cDNA synthesis protocol: Cells were sorted into lysis buffer composed of 0.2 % Triton X-100 (Sigma) and 2 U/μl of RNAse Inhibitor (Life Technologies). ERCC spike-in controls (Life Technologies) were added to the cell lysis mix at 1:5,000 dilution. RNA was cleaned-up from the crude lysate with Agencourt RNAclean XP SPRI beads (Beckman-Coulter). cDNA was synthesized and pre-amplified from 5 μl of lysate according to the Smart-seq2 protocol (Picelli et al., 2013)__0.2-1 ng of pre-amplified cDNA was used as input for tagmentation by the Nextera XT Sample Preparation Kit (Illumina), where amplification was performed for 12-14 PCR cycles.__Cells were isolated from the murine bone marrow, enriched by a MACS step and sorted for the population of interest. All steps were performed at 4°C.",M772non,"Sequencing reads were demultiplexed from the Nextera (i5 and i7) indices using deML (Renaud 2014, Bioinformatics)__Demultiplexed reads were aligned to the human genome (hg19) and ERCC reference using NextGenMap (Sedlazeck et al., 2013)__Count data was generated from mapped reads using featureCounts (Liao et al., 2014) on ENSEMBL gene models (GRCh38.74)__Genome_build: hg19__Supplementary_files_format_and_content: [.txt] processed data files are text files with count data, where columns equal to samples and rows equal to genes",GPL18460,"Christoph,,Ziegenhain",ziegenhain@bio.lmu.de,Anthropology & Human genomics,Department Biology II,Ludwig-Maximilians University Munich,Großhaderner Str. 2,Martinsried,Bavaria,82152,Germany,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05220056__SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1835137,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2194nnn/GSM2194997/suppl/GSM2194997_M772non.counts.txt.gz,GSE83142,0,RNA-Seq,PRJNA325123,SAMN05220056,PDX cell,GEO,public,SRX1835137,GSM2194997,Illumina HiSeq 1500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,BCP-ALL pediatric,ILLUMINA,GSM2194997,PDX Sample ALL-199,SRP076334,NOD scid gamma,NA,non-LRC,single-end,51,51 bp,ALL,Acute lymphoblastic leukemia,PDX,BCP-ALL pediatric,Bulk,non-LRC,6,1,0,0,0,0,1,1,1,0,0,0,1,B/Plasma cell,Undecided,BCP-ALL pediatric,Malignant cell
